nombre,poblacion,superficie,continente
Argentina,45376763,2780400,America
Brasil,213993437,8515767,America
Chile,19116209,756102,America
Uruguay,3426260,176215,America
Mexico,126705138,1964375,America
Alemania,83149300,357022,Europa
Espana,47450795,505944,Europa
Francia,67750000,643801,Europa
Italia,59110000,301340,Europa
Japon,125800000,377975,Asia
China,1411750000,9596961,Asia
India,1407563842,3287263,Asia
Australia,25690000,7692024,Oceania
Nueva Zelanda,5122600,268021,Oceania
Egipto,109262178,1002450,Africa
Sudafrica,59308690,1221037,Africa
